epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,82.8046,1.83803,2.06093,1.35675,0.7762,0.63445,0.69943,0.35766,1.50471,2.49937,0.96285,0.0700477,0.00332803,0.00332803
2,160.371,1.65243,1.46089,1.23403,0.75731,0.62715,0.69495,0.36175,1.52417,2.45938,0.97606,0.0398279,0.00644154,0.00644154
3,237.383,1.6442,1.40599,1.22521,0.7307,0.61791,0.66953,0.35609,1.44846,2.53009,0.9584,0.00938804,0.00933505,0.00933505
4,313.359,1.60169,1.32691,1.20807,0.77522,0.61563,0.69305,0.34577,1.64847,2.80655,1.01511,0.00901,0.00901,0.00901
5,389.926,1.55238,1.2712,1.1897,0.77747,0.64209,0.71266,0.38839,1.39777,1.87702,0.94692,0.00868,0.00868,0.00868
6,466.551,1.50987,1.21573,1.16973,0.79879,0.62942,0.70964,0.39679,1.33238,1.95456,0.93568,0.00835,0.00835,0.00835
7,543.107,1.4839,1.1798,1.15644,0.78602,0.63489,0.70964,0.40723,1.30968,1.58235,0.93397,0.00802,0.00802,0.00802
8,619.539,1.453,1.14024,1.14658,0.80046,0.63574,0.71134,0.39644,1.35901,1.68017,0.94132,0.00769,0.00769,0.00769
9,695.956,1.43505,1.11672,1.13358,0.8009,0.62251,0.7107,0.41396,1.2765,1.85537,0.92083,0.00736,0.00736,0.00736
10,771.904,1.42661,1.10698,1.13041,0.79785,0.65791,0.73018,0.426,1.27309,1.76407,0.91576,0.00703,0.00703,0.00703
11,848.294,1.40966,1.07824,1.12536,0.82304,0.61795,0.72857,0.43721,1.23801,1.43769,0.90663,0.0067,0.0067,0.0067
12,924.569,1.3965,1.06553,1.11524,0.81495,0.61981,0.71214,0.37146,1.45287,1.85311,0.953,0.00637,0.00637,0.00637
13,1001.14,1.3852,1.05151,1.11273,0.78006,0.64076,0.71932,0.41354,1.31387,1.65635,0.92023,0.00604,0.00604,0.00604
14,1077.55,1.36746,1.04018,1.10265,0.79457,0.64761,0.72253,0.43313,1.2361,1.59366,0.90836,0.00571,0.00571,0.00571
15,1153.85,1.36058,1.02498,1.09969,0.80846,0.65108,0.72906,0.41764,1.28141,1.86907,0.92333,0.00538,0.00538,0.00538
16,1229.82,1.33799,1.00567,1.09179,0.80992,0.63845,0.73019,0.42072,1.28566,1.58809,0.91595,0.00505,0.00505,0.00505
17,1306.2,1.33848,1.00699,1.0908,0.7626,0.64308,0.71627,0.41905,1.31984,1.48316,0.9224,0.00472,0.00472,0.00472
18,1382.6,1.32331,0.99342,1.08457,0.78037,0.64588,0.72314,0.43502,1.2148,1.68661,0.9057,0.00439,0.00439,0.00439
19,1458.52,1.30925,0.97429,1.07738,0.78178,0.65542,0.73319,0.43882,1.21845,1.60533,0.90163,0.00406,0.00406,0.00406
20,1535.23,1.30951,0.97926,1.08026,0.8082,0.63364,0.72645,0.42625,1.30624,1.6141,0.92048,0.00373,0.00373,0.00373
21,1599.57,1.19752,0.88474,1.02197,0.78777,0.62505,0.70881,0.40175,1.3623,1.82496,0.93342,0.0034,0.0034,0.0034
22,1662.14,1.17406,0.84885,1.01328,0.76884,0.61761,0.69339,0.41391,1.29633,1.50646,0.91891,0.00307,0.00307,0.00307
23,1724.57,1.15255,0.8249,1.00429,0.77021,0.6291,0.69845,0.4126,1.28266,1.51937,0.92009,0.00274,0.00274,0.00274
24,1787.33,1.13937,0.81659,1.00316,0.77382,0.61074,0.69022,0.40166,1.33987,1.57732,0.93411,0.00241,0.00241,0.00241
25,1851.2,1.12818,0.79667,0.99296,0.76565,0.6054,0.68573,0.41,1.31038,1.49641,0.92509,0.00208,0.00208,0.00208
26,1913.65,1.11835,0.78917,0.99118,0.77528,0.61181,0.68888,0.42001,1.22785,1.65082,0.91524,0.00175,0.00175,0.00175
27,1977.44,1.09978,0.77119,0.98569,0.79044,0.61203,0.69716,0.42182,1.26052,1.70394,0.91504,0.00142,0.00142,0.00142
28,2039.67,1.08845,0.76172,0.98147,0.78624,0.61219,0.69518,0.41988,1.28176,1.59514,0.9159,0.00109,0.00109,0.00109
29,2102.09,1.07224,0.74984,0.97637,0.77709,0.60767,0.69056,0.41919,1.25294,1.55317,0.91115,0.00076,0.00076,0.00076
30,2164.3,1.07497,0.74547,0.97597,0.76818,0.61891,0.69866,0.42686,1.25267,1.57014,0.90969,0.00043,0.00043,0.00043
