epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,76.9108,1.9268,2.33347,1.46143,0.7253,0.58633,0.63339,0.27227,1.78081,2.64146,1.04029,0.0700477,0.00332803,0.00332803
2,145.891,1.66587,1.57702,1.28082,0.75528,0.61213,0.67566,0.33755,1.53202,1.70397,0.96842,0.0398279,0.00644154,0.00644154
3,213.691,1.62287,1.44443,1.25294,0.73026,0.61258,0.66008,0.30136,1.77282,2.29819,1.0486,0.00938804,0.00933505,0.00933505
4,280.432,1.58084,1.37837,1.23538,0.76404,0.61836,0.67121,0.30793,1.81591,1.65094,1.07114,0.00901,0.00901,0.00901
5,347.286,1.53156,1.29476,1.21255,0.72299,0.62958,0.67711,0.34542,1.53751,2.01673,0.98822,0.00868,0.00868,0.00868
6,415.067,1.4792,1.23398,1.18723,0.74821,0.6254,0.6759,0.33478,1.55612,1.7918,0.98423,0.00835,0.00835,0.00835
7,482.549,1.44361,1.18298,1.17194,0.74784,0.60565,0.68058,0.37012,1.42275,1.70838,0.96083,0.00802,0.00802,0.00802
8,550.004,1.41519,1.15013,1.15387,0.76176,0.64404,0.70604,0.37522,1.45624,1.57817,0.95936,0.00769,0.00769,0.00769
9,617.254,1.38441,1.11649,1.1417,0.76476,0.63479,0.70422,0.3789,1.4531,1.84164,0.95845,0.00736,0.00736,0.00736
10,685.054,1.37526,1.10164,1.1332,0.75195,0.65627,0.70651,0.38797,1.383,1.81825,0.94886,0.00703,0.00703,0.00703
11,752.748,1.3448,1.07201,1.12079,0.74819,0.6449,0.69799,0.38458,1.38338,1.92478,0.94119,0.0067,0.0067,0.0067
12,821.206,1.33742,1.05413,1.11492,0.77644,0.60099,0.69342,0.38353,1.40871,1.72128,0.9459,0.00637,0.00637,0.00637
13,889.262,1.32387,1.04165,1.1118,0.76487,0.6288,0.69746,0.3815,1.38835,1.79809,0.93807,0.00604,0.00604,0.00604
14,957.237,1.30739,1.01658,1.09912,0.78178,0.62924,0.70668,0.34952,1.54106,1.84355,0.97171,0.00571,0.00571,0.00571
15,1024.6,1.29285,0.9997,1.09453,0.78601,0.63142,0.71195,0.40417,1.37571,1.82578,0.93244,0.00538,0.00538,0.00538
16,1092.42,1.28281,0.9969,1.08701,0.77556,0.64634,0.71071,0.39569,1.35985,1.89639,0.9366,0.00505,0.00505,0.00505
17,1159.98,1.27488,0.98264,1.08722,0.79844,0.62915,0.70905,0.40389,1.34258,1.63805,0.93272,0.00472,0.00472,0.00472
18,1228.15,1.2588,0.96601,1.07723,0.783,0.64035,0.71292,0.40792,1.35106,1.70081,0.92242,0.00439,0.00439,0.00439
19,1296.13,1.24727,0.95741,1.07132,0.78199,0.66188,0.72571,0.40371,1.38049,1.61072,0.93189,0.00406,0.00406,0.00406
20,1363.71,1.2314,0.93452,1.0635,0.77783,0.64771,0.7128,0.40226,1.37164,1.59809,0.92369,0.00373,0.00373,0.00373
21,1433.17,1.20333,0.92393,1.04114,0.7659,0.60966,0.68292,0.38505,1.37872,1.69045,0.93729,0.0034,0.0034,0.0034
22,1500,1.18875,0.89885,1.03518,0.75804,0.63553,0.69996,0.40003,1.32577,1.69984,0.92287,0.00307,0.00307,0.00307
23,1566.85,1.17329,0.88705,1.02994,0.78974,0.61717,0.69966,0.40479,1.34945,1.72627,0.92892,0.00274,0.00274,0.00274
24,1633.72,1.15506,0.87523,1.02463,0.76167,0.61993,0.68786,0.3963,1.34249,1.89011,0.92901,0.00241,0.00241,0.00241
25,1700.77,1.1482,0.85477,1.02014,0.75745,0.60393,0.68846,0.40609,1.32915,1.5337,0.9262,0.00208,0.00208,0.00208
26,1767.72,1.13698,0.85107,1.01618,0.7535,0.61874,0.69069,0.39529,1.3131,1.62729,0.92075,0.00175,0.00175,0.00175
27,1833.75,1.12596,0.83722,1.00991,0.77917,0.63314,0.71029,0.41357,1.32483,1.64793,0.92093,0.00142,0.00142,0.00142
28,1899.94,1.11286,0.82381,1.00848,0.76012,0.60653,0.68816,0.40534,1.32807,1.64287,0.92126,0.00109,0.00109,0.00109
29,1966.72,1.10004,0.81034,1.00009,0.77233,0.61655,0.69359,0.4092,1.3174,1.55057,0.92041,0.00076,0.00076,0.00076
30,2033.64,1.10107,0.81115,1.00029,0.77429,0.62477,0.70056,0.41436,1.30263,1.61062,0.91697,0.00043,0.00043,0.00043
