epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,86.106,2.03585,2.3216,1.46696,0.69081,0.57529,0.58095,0.22981,1.88975,3.46595,1.08865,0.000475576,0.000475576,0.000475576
2,166.51,1.78682,1.69702,1.34637,0.72952,0.6034,0.65181,0.30442,1.60811,2.30433,1.02242,0.000920496,0.000920496,0.000920496
3,246.408,1.72151,1.56017,1.31835,0.73356,0.59411,0.65867,0.29741,1.70284,2.5291,1.03292,0.00133398,0.00133398,0.00133398
4,326.003,1.67354,1.46476,1.28985,0.76322,0.62354,0.68953,0.33725,1.6353,1.91337,1.02068,0.00128753,0.00128753,0.00128753
5,406.076,1.62642,1.39924,1.27026,0.78508,0.61659,0.70092,0.37902,1.42981,1.63217,0.95912,0.00124037,0.00124037,0.00124037
6,485.588,1.58801,1.35347,1.25,0.76456,0.65766,0.70441,0.34711,1.64994,2.10649,1.01774,0.00119322,0.00119322,0.00119322
7,565.794,1.56306,1.31095,1.2318,0.77367,0.62093,0.68298,0.33358,1.57221,1.90459,0.98484,0.00114606,0.00114606,0.00114606
8,645.523,1.53821,1.28199,1.22294,0.78982,0.61765,0.69889,0.36787,1.44824,1.91519,0.95957,0.0010989,0.0010989,0.0010989
9,725.881,1.52579,1.27238,1.21392,0.76756,0.6379,0.70653,0.38434,1.4326,1.73872,0.96178,0.00105174,0.00105174,0.00105174
10,805.952,1.51233,1.25903,1.2079,0.76479,0.63913,0.71025,0.39189,1.38756,1.71841,0.93933,0.00100459,0.00100459,0.00100459
11,885.879,1.49095,1.22547,1.19448,0.77406,0.62448,0.70143,0.37898,1.47095,1.76277,0.9678,0.00095743,0.00095743,0.00095743
12,965.987,1.47874,1.21391,1.18978,0.77996,0.61899,0.70126,0.37374,1.54383,1.91025,0.97947,0.000910273,0.000910273,0.000910273
13,1045.45,1.45355,1.19129,1.17652,0.80163,0.61818,0.71562,0.38914,1.45387,1.70572,0.96077,0.000863116,0.000863116,0.000863116
14,1125.64,1.4471,1.18264,1.17565,0.78489,0.62736,0.7191,0.36068,1.61848,1.71799,0.99044,0.000815959,0.000815959,0.000815959
15,1205.53,1.43185,1.15959,1.16339,0.78948,0.6304,0.71479,0.38525,1.52241,1.88535,0.97044,0.000768802,0.000768802,0.000768802
16,1285.57,1.43235,1.1634,1.1674,0.76109,0.64763,0.71834,0.37905,1.46066,1.71231,0.94899,0.000721645,0.000721645,0.000721645
17,1365.33,1.40277,1.13073,1.15149,0.79975,0.62973,0.71299,0.35772,1.6174,1.92551,0.98943,0.000674488,0.000674488,0.000674488
18,1444.96,1.40053,1.13406,1.15176,0.8053,0.62965,0.71839,0.38506,1.43698,1.5769,0.95027,0.000627331,0.000627331,0.000627331
19,1524.43,1.40234,1.12912,1.15094,0.79968,0.64507,0.72648,0.38728,1.4899,1.81024,0.9581,0.000580174,0.000580174,0.000580174
20,1604.54,1.39066,1.11625,1.14545,0.75385,0.6622,0.71214,0.35214,1.57572,2.16692,0.97985,0.000533017,0.000533017,0.000533017
21,1670.11,1.2512,0.98199,1.06467,0.76643,0.59882,0.68367,0.36299,1.5117,1.77062,0.96257,0.00048586,0.00048586,0.00048586
22,1734.11,1.22008,0.93074,1.04988,0.76563,0.62052,0.69956,0.37472,1.46116,1.79633,0.95363,0.000438703,0.000438703,0.000438703
23,1797.9,1.19146,0.90746,1.04222,0.76047,0.61412,0.69115,0.38444,1.39807,1.72882,0.94098,0.000391546,0.000391546,0.000391546
24,1861.69,1.17631,0.89383,1.03542,0.75532,0.64227,0.7023,0.38128,1.46977,2.02643,0.95374,0.000344389,0.000344389,0.000344389
25,1925.6,1.17435,0.8749,1.03164,0.75642,0.60744,0.67922,0.37069,1.43025,1.65918,0.94203,0.000297232,0.000297232,0.000297232
26,1989.24,1.15738,0.86682,1.02337,0.75684,0.62653,0.69787,0.38872,1.39685,1.69901,0.93772,0.000250075,0.000250075,0.000250075
27,2052.6,1.1501,0.85654,1.0218,0.76592,0.63772,0.70689,0.39052,1.41587,1.72165,0.93863,0.000202918,0.000202918,0.000202918
28,2115.69,1.13674,0.84597,1.01673,0.74407,0.62769,0.69383,0.38867,1.39632,1.75383,0.93552,0.000155761,0.000155761,0.000155761
29,2178.89,1.12728,0.83683,1.01236,0.77197,0.60874,0.69308,0.38704,1.38776,1.65198,0.93071,0.000108604,0.000108604,0.000108604
30,2242.11,1.12596,0.8297,1.01163,0.75853,0.62349,0.69939,0.39549,1.37824,1.71486,0.92854,6.1447e-05,6.1447e-05,6.1447e-05
