epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,86.3433,1.70457,1.92143,1.17923,0.77164,0.63643,0.70233,0.37054,1.40368,2.8446,0.9495,0.000475576,0.000475576,0.000475576
2,166.739,1.59742,1.36506,1.14029,0.78736,0.62593,0.70693,0.41135,1.22469,2.29309,0.9179,0.000920496,0.000920496,0.000920496
3,246.486,1.54833,1.23281,1.12364,0.78073,0.63314,0.72242,0.42383,1.23367,2.26855,0.92466,0.00133398,0.00133398,0.00133398
4,325.426,1.52086,1.16657,1.11179,0.76489,0.6613,0.72664,0.43078,1.17947,2.31964,0.91719,0.00128753,0.00128753,0.00128753
5,405.258,1.48828,1.12576,1.10443,0.80379,0.66088,0.73765,0.43348,1.22618,1.80113,0.91664,0.00124037,0.00124037,0.00124037
6,484.799,1.44881,1.08013,1.08856,0.78637,0.66132,0.7399,0.45832,1.15455,1.67045,0.90386,0.00119322,0.00119322,0.00119322
7,565.305,1.43377,1.04753,1.077,0.78733,0.65737,0.73969,0.45598,1.15133,2.04529,0.90142,0.00114606,0.00114606,0.00114606
8,646.046,1.42065,1.04071,1.07391,0.82292,0.62742,0.72625,0.44703,1.1625,1.99847,0.90466,0.0010989,0.0010989,0.0010989
9,728.306,1.39436,1.01443,1.06283,0.79156,0.63766,0.73388,0.44746,1.19813,1.70152,0.91216,0.00105174,0.00105174,0.00105174
10,809.312,1.38018,0.9994,1.06016,0.7852,0.64559,0.73186,0.45389,1.16078,1.61876,0.89945,0.00100459,0.00100459,0.00100459
11,890.157,1.38942,0.99433,1.05687,0.79088,0.64709,0.73557,0.45352,1.16282,1.52785,0.90113,0.00095743,0.00095743,0.00095743
12,970.478,1.36254,0.9752,1.05147,0.7759,0.64853,0.72786,0.45703,1.12018,1.81885,0.89326,0.000910273,0.000910273,0.000910273
13,1050.72,1.34378,0.96003,1.04853,0.81431,0.63297,0.73791,0.46065,1.13025,1.67487,0.89781,0.000863116,0.000863116,0.000863116
14,1130.91,1.34428,0.9563,1.04718,0.78276,0.66833,0.74307,0.46746,1.10013,1.74985,0.89297,0.000815959,0.000815959,0.000815959
15,1211.82,1.33694,0.9464,1.0393,0.80036,0.64043,0.73353,0.46093,1.11946,1.73147,0.89452,0.000768802,0.000768802,0.000768802
16,1295.06,1.33171,0.93769,1.03755,0.81366,0.6248,0.73138,0.46243,1.12573,1.87893,0.89359,0.000721645,0.000721645,0.000721645
17,1376.72,1.31311,0.91856,1.0281,0.78936,0.64932,0.73536,0.47072,1.07533,1.65636,0.88536,0.000674488,0.000674488,0.000674488
18,1458.71,1.3069,0.91793,1.02992,0.79679,0.65146,0.74198,0.47061,1.11948,1.8013,0.88733,0.000627331,0.000627331,0.000627331
19,1539.19,1.30063,0.9083,1.03042,0.79508,0.64169,0.72795,0.46323,1.13245,1.62124,0.89147,0.000580174,0.000580174,0.000580174
20,1619.62,1.29904,0.906,1.02449,0.78661,0.66307,0.73937,0.47126,1.0899,1.72782,0.88278,0.000533017,0.000533017,0.000533017
21,1685.68,1.19002,0.82621,0.99579,0.78988,0.62909,0.70964,0.43535,1.19826,1.83472,0.90612,0.00048586,0.00048586,0.00048586
22,1750.03,1.16567,0.79107,0.98511,0.78804,0.6101,0.69976,0.43789,1.14814,1.86352,0.90088,0.000438703,0.000438703,0.000438703
23,1814.31,1.1571,0.7838,0.98136,0.79515,0.6154,0.70235,0.43536,1.16487,1.87578,0.90061,0.000391546,0.000391546,0.000391546
24,1878.35,1.14097,0.77187,0.98074,0.78535,0.62305,0.7011,0.43647,1.15103,1.86205,0.90374,0.000344389,0.000344389,0.000344389
25,1942.24,1.13574,0.76025,0.97505,0.77859,0.60438,0.68691,0.43195,1.17471,1.73606,0.91382,0.000297232,0.000297232,0.000297232
26,2006.17,1.12254,0.75001,0.96905,0.77854,0.60821,0.69119,0.43569,1.17565,1.66638,0.90571,0.000250075,0.000250075,0.000250075
27,2070.33,1.11334,0.73895,0.96389,0.76911,0.6212,0.69731,0.44225,1.16047,1.68811,0.89972,0.000202918,0.000202918,0.000202918
28,2134.25,1.10453,0.7281,0.96475,0.80177,0.61135,0.70052,0.44122,1.16698,1.80241,0.90085,0.000155761,0.000155761,0.000155761
29,2197.53,1.09375,0.72158,0.95848,0.79575,0.59015,0.68683,0.43345,1.18811,1.8087,0.91229,0.000108604,0.000108604,0.000108604
30,2260.61,1.0955,0.72211,0.95736,0.78199,0.60445,0.69226,0.44008,1.17848,1.73768,0.90612,6.1447e-05,6.1447e-05,6.1447e-05
