epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,86.4299,2.08185,1.9934,1.55162,0.4288,0.2383,0.22053,0.05973,2.9996,10.6176,1.86249,0.0700477,0.00332803,0.00332803
2,164.37,1.9539,1.74331,1.49059,0.63992,0.51341,0.52967,0.20428,2.06359,3.12388,1.3361,0.0398279,0.00644154,0.00644154
3,241.063,1.85308,1.6207,1.43543,0.6284,0.52407,0.52972,0.19986,2.13028,3.56355,1.34187,0.00938804,0.00933505,0.00933505
4,316.488,1.77455,1.52079,1.39221,0.68678,0.51015,0.57252,0.25729,1.75011,2.47844,1.17385,0.00901,0.00901,0.00901
5,391.345,1.69557,1.41878,1.33485,0.69715,0.59852,0.63151,0.30926,1.63299,1.84919,1.11464,0.00868,0.00868,0.00868
6,466.035,1.63383,1.33362,1.30263,0.6825,0.59102,0.62956,0.29701,1.70944,2.26949,1.16291,0.00835,0.00835,0.00835
7,540.857,1.61525,1.31873,1.28946,0.73104,0.61618,0.67664,0.34602,1.50697,1.81006,1.07294,0.00802,0.00802,0.00802
8,615.913,1.55392,1.25078,1.26436,0.70098,0.60406,0.64742,0.32916,1.50854,1.91867,1.07215,0.00769,0.00769,0.00769
9,690.971,1.54222,1.23033,1.25045,0.71361,0.59984,0.65629,0.34063,1.53409,2.35343,1.0834,0.00736,0.00736,0.00736
10,765.821,1.51093,1.19722,1.23148,0.71056,0.59537,0.6497,0.34989,1.45096,1.57269,1.04129,0.00703,0.00703,0.00703
11,840.99,1.49659,1.17065,1.22243,0.72996,0.61651,0.67237,0.35297,1.499,1.73726,1.05096,0.0067,0.0067,0.0067
12,915.911,1.45683,1.14269,1.20033,0.73288,0.62448,0.67684,0.37664,1.36338,2.12753,1.02216,0.00637,0.00637,0.00637
13,991.011,1.44307,1.12945,1.19937,0.71337,0.62736,0.68358,0.36621,1.47358,1.87597,1.04183,0.00604,0.00604,0.00604
14,1065.84,1.4227,1.10184,1.18286,0.7746,0.62989,0.69607,0.38875,1.3705,1.85655,1.01285,0.00571,0.00571,0.00571
15,1141.05,1.38824,1.0734,1.17223,0.76681,0.62117,0.69663,0.38785,1.39456,1.82087,1.00128,0.00538,0.00538,0.00538
16,1216.31,1.38205,1.06252,1.16162,0.71561,0.65086,0.68517,0.38122,1.33425,1.55718,0.99316,0.00505,0.00505,0.00505
17,1291.04,1.35795,1.04247,1.14873,0.73069,0.63908,0.69722,0.39634,1.33847,1.5166,0.981,0.00472,0.00472,0.00472
18,1365.84,1.34991,1.02737,1.14873,0.73733,0.6615,0.71076,0.40977,1.27268,1.70241,0.97797,0.00439,0.00439,0.00439
19,1440.52,1.33622,1.01239,1.13868,0.73578,0.64591,0.70564,0.38841,1.38092,1.74137,0.99361,0.00406,0.00406,0.00406
20,1515.23,1.31283,0.99873,1.13192,0.73924,0.63984,0.69968,0.40287,1.26807,1.47796,0.96726,0.00373,0.00373,0.00373
21,1586.92,1.19316,0.88514,1.08566,0.74502,0.63863,0.70868,0.40116,1.33358,1.75049,0.98723,0.0034,0.0034,0.0034
22,1657.32,1.17544,0.86023,1.07509,0.73785,0.64256,0.71009,0.41396,1.28018,1.55842,0.97735,0.00307,0.00307,0.00307
23,1727.42,1.15456,0.84266,1.06646,0.73809,0.63359,0.70292,0.40652,1.2915,1.52574,0.97062,0.00274,0.00274,0.00274
24,1797.47,1.12896,0.82711,1.05707,0.71907,0.62317,0.69151,0.39507,1.32651,1.94961,0.98314,0.00241,0.00241,0.00241
25,1867.63,1.12806,0.81222,1.05113,0.73997,0.61728,0.69519,0.40871,1.29811,1.38069,0.97111,0.00208,0.00208,0.00208
26,1937.62,1.09585,0.79075,1.03775,0.75195,0.58449,0.67847,0.39378,1.32481,1.44462,0.98618,0.00175,0.00175,0.00175
27,2007.52,1.08483,0.78418,1.03494,0.73222,0.6512,0.71512,0.42524,1.26057,1.68121,0.96301,0.00142,0.00142,0.00142
28,2077.52,1.0643,0.76474,1.02466,0.72743,0.63127,0.70201,0.41963,1.26271,1.4555,0.95974,0.00109,0.00109,0.00109
29,2147.33,1.0488,0.74649,1.02137,0.73024,0.5994,0.68294,0.40639,1.28721,1.42912,0.97054,0.00076,0.00076,0.00076
30,2217.3,1.03848,0.73608,1.01221,0.73363,0.62547,0.70121,0.41813,1.25425,1.46089,0.96043,0.00043,0.00043,0.00043
