epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,86.3241,1.88176,1.6467,1.36471,0.62212,0.58091,0.59705,0.30425,1.52902,2.74401,1.0882,0.0700477,0.00332803,0.00332803
2,165.353,1.75812,1.3908,1.3096,0.73214,0.62149,0.67551,0.33606,1.61728,4.51581,1.08209,0.0398279,0.00644154,0.00644154
3,242.926,1.68704,1.31169,1.26666,0.73672,0.61111,0.65963,0.31298,1.7392,2.51494,1.09935,0.00938804,0.00933505,0.00933505
4,320.715,1.61282,1.23384,1.22986,0.73125,0.63686,0.69303,0.38615,1.37098,2.43519,0.99985,0.00901,0.00901,0.00901
5,398.592,1.57378,1.19247,1.20702,0.78587,0.6422,0.70711,0.39004,1.34968,1.92418,0.99009,0.00868,0.00868,0.00868
6,476.792,1.55296,1.17189,1.1969,0.77965,0.63676,0.70672,0.35335,1.64863,2.16834,1.0635,0.00835,0.00835,0.00835
7,555.25,1.50269,1.11701,1.16897,0.80775,0.65023,0.73234,0.42034,1.31435,1.7375,0.96987,0.00802,0.00802,0.00802
8,634.338,1.48661,1.1003,1.16445,0.76743,0.65319,0.71744,0.40498,1.3662,2.60626,0.98812,0.00769,0.00769,0.00769
9,713.037,1.47496,1.08887,1.15517,0.80611,0.63289,0.71278,0.39364,1.45753,1.95311,1.00626,0.00736,0.00736,0.00736
10,791.041,1.44497,1.06541,1.14016,0.7893,0.65003,0.72483,0.42325,1.32824,1.71905,0.96939,0.00703,0.00703,0.00703
11,869.366,1.43518,1.05108,1.1363,0.78687,0.65259,0.72323,0.42028,1.30652,1.80069,0.95952,0.0067,0.0067,0.0067
12,947.298,1.42744,1.04444,1.13107,0.81205,0.64697,0.7365,0.43189,1.30747,1.66227,0.96463,0.00637,0.00637,0.00637
13,1025.32,1.40639,1.0249,1.12268,0.79371,0.64893,0.72995,0.42391,1.32029,1.58554,0.95942,0.00604,0.00604,0.00604
14,1103.38,1.38568,1.01393,1.11277,0.79635,0.6387,0.71988,0.41417,1.34098,1.6707,0.96811,0.00571,0.00571,0.00571
15,1182.12,1.37948,0.99629,1.10806,0.81362,0.62257,0.71221,0.41958,1.2857,1.59399,0.95144,0.00538,0.00538,0.00538
16,1261.26,1.37049,0.9884,1.09969,0.77343,0.67442,0.73835,0.44303,1.22547,1.65543,0.93472,0.00505,0.00505,0.00505
17,1339.88,1.35998,0.98253,1.10076,0.79112,0.65704,0.73593,0.44748,1.21285,1.60452,0.93048,0.00472,0.00472,0.00472
18,1418.57,1.34453,0.96875,1.09149,0.80032,0.63653,0.72811,0.44506,1.20075,1.60182,0.92848,0.00439,0.00439,0.00439
19,1496.68,1.3337,0.95301,1.08592,0.79185,0.6314,0.72748,0.453,1.17208,1.80897,0.92245,0.00406,0.00406,0.00406
20,1576.38,1.32531,0.94856,1.08606,0.80525,0.64094,0.73254,0.44125,1.25763,1.52106,0.93706,0.00373,0.00373,0.00373
21,1647.07,1.23547,0.87772,1.04712,0.76372,0.63696,0.70872,0.4212,1.3288,1.77009,0.95436,0.0034,0.0034,0.0034
22,1714.39,1.20629,0.83782,1.03287,0.772,0.64197,0.71751,0.42085,1.32505,1.71027,0.95483,0.00307,0.00307,0.00307
23,1780.66,1.19162,0.81905,1.02829,0.78608,0.6356,0.71466,0.42903,1.27197,1.63268,0.94596,0.00274,0.00274,0.00274
24,1846.69,1.16569,0.80909,1.02178,0.76615,0.64131,0.71238,0.4236,1.28386,1.69601,0.9475,0.00241,0.00241,0.00241
25,1913.27,1.16451,0.7961,1.01456,0.79291,0.63061,0.7135,0.41001,1.36316,1.57145,0.96078,0.00208,0.00208,0.00208
26,1979.37,1.14663,0.78495,1.00737,0.79343,0.64494,0.72241,0.43957,1.22444,1.61831,0.93212,0.00175,0.00175,0.00175
27,2045.39,1.126,0.76884,1.00455,0.78159,0.65057,0.72557,0.44095,1.24507,1.59603,0.93307,0.00142,0.00142,0.00142
28,2110.93,1.12476,0.76009,1.00165,0.78241,0.63592,0.71422,0.44203,1.20954,1.69538,0.92472,0.00109,0.00109,0.00109
29,2176.83,1.10578,0.74848,0.99541,0.78125,0.63141,0.71043,0.43613,1.22015,1.76077,0.93,0.00076,0.00076,0.00076
30,2243.16,1.10416,0.74491,0.99346,0.78259,0.63498,0.71479,0.44047,1.22242,1.69832,0.92646,0.00043,0.00043,0.00043
