epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,98.7568,1.79119,1.90425,1.23153,0.75221,0.64434,0.70008,0.38484,1.30809,2.26225,0.94126,0.000475576,0.000475576,0.000475576
2,189.246,1.65371,1.40964,1.19941,0.71983,0.64992,0.68591,0.39427,1.26728,2.44329,0.94121,0.000920496,0.000920496,0.000920496
3,279.347,1.62028,1.30233,1.18438,0.74599,0.64908,0.70385,0.38072,1.40441,2.35129,0.98077,0.00133398,0.00133398,0.00133398
4,368.001,1.56884,1.21385,1.16055,0.76243,0.63609,0.7088,0.40899,1.25378,1.94119,0.9437,0.00128753,0.00128753,0.00128753
5,457.221,1.52819,1.16417,1.14169,0.76247,0.65835,0.728,0.41141,1.32016,1.43152,0.94772,0.00124037,0.00124037,0.00124037
6,544.295,1.48356,1.11182,1.12575,0.76739,0.63564,0.70151,0.41908,1.2223,2.30253,0.92722,0.00119322,0.00119322,0.00119322
7,630.291,1.46196,1.08283,1.11436,0.78019,0.64732,0.72887,0.44929,1.13193,1.34663,0.91374,0.00114606,0.00114606,0.00114606
8,716.388,1.43525,1.05536,1.10776,0.78555,0.66238,0.73775,0.44404,1.20015,1.52261,0.92028,0.0010989,0.0010989,0.0010989
9,803.13,1.39351,1.01273,1.08761,0.77058,0.63236,0.71449,0.43855,1.12534,1.7737,0.90817,0.00105174,0.00105174,0.00105174
10,889.544,1.38198,1.00072,1.08733,0.76138,0.6472,0.72733,0.4498,1.12711,1.53695,0.90216,0.00100459,0.00100459,0.00100459
11,974.802,1.36006,0.97653,1.0757,0.77238,0.66408,0.73518,0.43696,1.22247,2.00403,0.92226,0.00095743,0.00095743,0.00095743
12,1058.78,1.34547,0.95835,1.06855,0.77809,0.64492,0.7291,0.45773,1.08321,1.78345,0.89182,0.000910273,0.000910273,0.000910273
13,1142.55,1.33207,0.95468,1.06774,0.7721,0.67756,0.7498,0.47005,1.09016,1.73649,0.89492,0.000863116,0.000863116,0.000863116
14,1226.55,1.30477,0.92658,1.05269,0.77557,0.65658,0.72961,0.4461,1.136,1.69863,0.89689,0.000815959,0.000815959,0.000815959
15,1309.25,1.30047,0.92168,1.05569,0.79458,0.64877,0.73123,0.45557,1.11925,1.65141,0.89655,0.000768802,0.000768802,0.000768802
16,1391.48,1.2768,0.89962,1.0448,0.78173,0.66758,0.74192,0.47221,1.04474,1.78606,0.87982,0.000721645,0.000721645,0.000721645
17,1473.8,1.27369,0.89253,1.04224,0.76687,0.65894,0.7355,0.46706,1.09286,1.65559,0.89067,0.000674488,0.000674488,0.000674488
18,1555.85,1.27131,0.88201,1.03953,0.76429,0.64586,0.72176,0.45148,1.11641,2.09746,0.89147,0.000627331,0.000627331,0.000627331
19,1638.04,1.25437,0.87386,1.03415,0.78189,0.66614,0.74278,0.46462,1.11079,1.62502,0.89291,0.000580174,0.000580174,0.000580174
20,1720.09,1.23149,0.85581,1.0272,0.73434,0.63828,0.715,0.46674,1.03274,1.56473,0.87716,0.000533017,0.000533017,0.000533017
21,1793.34,1.07017,0.71792,0.97442,0.75849,0.64982,0.71924,0.45707,1.117,1.86786,0.89466,0.00048586,0.00048586,0.00048586
22,1865.13,1.06212,0.70254,0.96989,0.76633,0.62276,0.71002,0.4499,1.13665,1.54645,0.90014,0.000438703,0.000438703,0.000438703
23,1937.22,1.04075,0.68844,0.96819,0.78879,0.61496,0.7025,0.44579,1.11602,1.69216,0.89633,0.000391546,0.000391546,0.000391546
24,2008.72,1.02106,0.67296,0.96162,0.7734,0.64249,0.72577,0.45228,1.15329,1.83109,0.90065,0.000344389,0.000344389,0.000344389
25,2080.91,1.01603,0.66047,0.95555,0.77364,0.64237,0.72773,0.44995,1.15907,1.57879,0.90349,0.000297232,0.000297232,0.000297232
26,2153.49,0.99641,0.6483,0.94831,0.77921,0.63042,0.7146,0.45138,1.13182,1.65781,0.89799,0.000250075,0.000250075,0.000250075
27,2226.43,0.97752,0.63278,0.94399,0.79153,0.63394,0.73308,0.46527,1.13232,1.71926,0.89812,0.000202918,0.000202918,0.000202918
28,2298.8,0.96979,0.62554,0.94313,0.77433,0.62366,0.70645,0.44901,1.15541,1.78961,0.90395,0.000155761,0.000155761,0.000155761
29,2370.96,0.94529,0.60573,0.93531,0.79925,0.61218,0.71413,0.4338,1.24738,1.80005,0.92064,0.000108604,0.000108604,0.000108604
30,2443.44,0.94145,0.60408,0.93311,0.78297,0.62217,0.71277,0.44615,1.19341,1.72851,0.90788,6.1447e-05,6.1447e-05,6.1447e-05
