epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,91.713,1.89571,1.72486,1.43648,0.62173,0.4924,0.52586,0.22007,1.87499,3.27167,1.23055,0.0700477,0.00332803,0.00332803
2,176.215,1.79072,1.51218,1.40301,0.69321,0.56703,0.61834,0.29576,1.65386,3.19515,1.13189,0.0398279,0.00644154,0.00644154
3,259.971,1.68732,1.40329,1.35196,0.72459,0.55402,0.59754,0.25723,1.86647,3.9498,1.21003,0.00938804,0.00933505,0.00933505
4,342.926,1.62032,1.3129,1.31263,0.68764,0.58063,0.61886,0.31199,1.62557,2.36452,1.12116,0.00901,0.00901,0.00901
5,426.313,1.56494,1.26164,1.2831,0.76072,0.57809,0.65993,0.37297,1.36258,2.15181,1.0269,0.00868,0.00868,0.00868
6,510.032,1.51762,1.19825,1.25837,0.75247,0.6268,0.6813,0.3619,1.44765,2.0036,1.03514,0.00835,0.00835,0.00835
7,593.605,1.48171,1.16019,1.23976,0.71139,0.594,0.6613,0.37872,1.35852,1.77013,1.03471,0.00802,0.00802,0.00802
8,676.836,1.45489,1.13617,1.22669,0.72613,0.62593,0.68322,0.38899,1.29031,1.95206,1.00091,0.00769,0.00769,0.00769
9,760.336,1.42471,1.10655,1.2087,0.75098,0.61713,0.68905,0.39401,1.27846,2.17161,0.99986,0.00736,0.00736,0.00736
10,843.913,1.40658,1.08216,1.20146,0.75359,0.64288,0.70175,0.40431,1.2996,2.17901,0.99799,0.00703,0.00703,0.00703
11,926.926,1.37475,1.04778,1.18574,0.75864,0.59219,0.66347,0.35157,1.50747,1.57219,1.0539,0.0067,0.0067,0.0067
12,1010.15,1.34659,1.01921,1.16982,0.76822,0.64199,0.69729,0.41462,1.26157,2.17776,0.99213,0.00637,0.00637,0.00637
13,1093.15,1.32893,1.00277,1.16212,0.78422,0.62409,0.70552,0.41137,1.24951,1.76783,0.98469,0.00604,0.00604,0.00604
14,1176.54,1.32365,1.00162,1.16198,0.77809,0.63122,0.70548,0.42359,1.24263,2.08562,0.9778,0.00571,0.00571,0.00571
15,1260.01,1.30098,0.97758,1.14675,0.75562,0.64754,0.7059,0.43132,1.1971,1.66422,0.96581,0.00538,0.00538,0.00538
16,1343.38,1.29749,0.97641,1.14747,0.78149,0.64672,0.72849,0.43363,1.23843,1.58451,0.96667,0.00505,0.00505,0.00505
17,1426.21,1.27134,0.94842,1.13483,0.81179,0.63257,0.71985,0.42482,1.2774,1.61792,0.97236,0.00472,0.00472,0.00472
18,1509.13,1.27356,0.94819,1.13458,0.76636,0.65082,0.72062,0.43739,1.17367,1.37229,0.9612,0.00439,0.00439,0.00439
19,1592,1.24695,0.91974,1.12554,0.78954,0.64188,0.72462,0.43784,1.17189,1.61777,0.95695,0.00406,0.00406,0.00406
20,1674.86,1.22808,0.90664,1.11333,0.7899,0.62108,0.70975,0.43692,1.18014,1.64839,0.95342,0.00373,0.00373,0.00373
21,1746.78,1.08797,0.75995,1.02515,0.78706,0.6191,0.7082,0.41468,1.30113,1.49641,0.99959,0.0034,0.0034,0.0034
22,1817.3,1.06581,0.7345,1.01865,0.77765,0.65534,0.7201,0.44809,1.21357,1.55247,0.96553,0.00307,0.00307,0.00307
23,1887.78,1.03839,0.71033,1.00415,0.76207,0.60063,0.68075,0.40421,1.33689,1.46753,1.01264,0.00274,0.00274,0.00274
24,1958,1.02575,0.69262,1.00203,0.74164,0.65347,0.7235,0.43892,1.25272,1.52373,0.97384,0.00241,0.00241,0.00241
25,2028.06,1.0131,0.68153,0.99633,0.77122,0.62708,0.71383,0.44704,1.19034,1.32131,0.96412,0.00208,0.00208,0.00208
26,2098.63,0.994,0.66595,0.98363,0.77397,0.63215,0.71922,0.44103,1.22599,1.40315,0.97161,0.00175,0.00175,0.00175
27,2169.95,0.96511,0.64355,0.97525,0.79682,0.64585,0.73256,0.4571,1.16954,1.52914,0.95927,0.00142,0.00142,0.00142
28,2240.87,0.95037,0.62644,0.9694,0.7821,0.62491,0.70805,0.44985,1.1514,1.27851,0.9498,0.00109,0.00109,0.00109
29,2311.91,0.9223,0.60467,0.95643,0.80838,0.63331,0.72044,0.44938,1.19186,1.41375,0.95736,0.00076,0.00076,0.00076
30,2382.86,0.90532,0.59128,0.95093,0.80269,0.6323,0.72371,0.45681,1.20686,1.35798,0.9628,0.00043,0.00043,0.00043
