epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,77.5399,1.59962,1.39369,1.18306,0.74142,0.62196,0.67327,0.37264,1.34748,4.23633,1.02653,0.0700477,0.00332803,0.00332803
2,149.569,1.50121,1.15408,1.14432,0.76483,0.66092,0.731,0.42864,1.23367,2.15276,0.96933,0.0398279,0.00644154,0.00644154
3,220.525,1.41972,1.07301,1.11021,0.77026,0.65734,0.71987,0.43372,1.19857,2.01494,0.9583,0.00938804,0.00933505,0.00933505
4,291.08,1.37745,1.02554,1.09167,0.79482,0.65545,0.73781,0.45689,1.14812,1.42227,0.94159,0.00901,0.00901,0.00901
5,361.543,1.35038,0.99737,1.07772,0.79581,0.65958,0.73854,0.45597,1.13536,1.78248,0.94449,0.00868,0.00868,0.00868
6,432.221,1.31353,0.95414,1.06022,0.7889,0.66427,0.74824,0.46781,1.09395,1.97172,0.92902,0.00835,0.00835,0.00835
7,502.767,1.29121,0.93353,1.05076,0.80276,0.65593,0.73223,0.46188,1.12706,1.95821,0.93084,0.00802,0.00802,0.00802
8,572.978,1.26566,0.9143,1.0402,0.797,0.67186,0.74976,0.47417,1.089,1.47661,0.91898,0.00769,0.00769,0.00769
9,643.675,1.25496,0.89418,1.03198,0.80938,0.65979,0.74373,0.47628,1.06345,1.86407,0.91952,0.00736,0.00736,0.00736
10,714.178,1.23913,0.87498,1.02535,0.80207,0.63896,0.73116,0.47415,1.06753,1.43606,0.9249,0.00703,0.00703,0.00703
11,784.957,1.21258,0.85103,1.01617,0.81631,0.64985,0.73788,0.48182,1.05178,1.58265,0.915,0.0067,0.0067,0.0067
12,855.959,1.20831,0.84428,1.01575,0.78831,0.67167,0.74794,0.48339,1.05196,1.5603,0.91438,0.00637,0.00637,0.00637
13,926.544,1.19141,0.83522,1.00811,0.80698,0.65082,0.74387,0.48908,1.04012,1.52166,0.90972,0.00604,0.00604,0.00604
14,997.252,1.17978,0.82171,1.00376,0.82341,0.64866,0.74912,0.48363,1.03972,1.55843,0.9043,0.00571,0.00571,0.00571
15,1067.9,1.17478,0.81153,1.00074,0.809,0.63718,0.73847,0.48419,1.04379,1.44254,0.90738,0.00538,0.00538,0.00538
16,1138.38,1.15259,0.79717,0.99269,0.81074,0.64382,0.73879,0.48369,1.053,1.42579,0.90825,0.00505,0.00505,0.00505
17,1208.99,1.15055,0.79027,0.99104,0.77659,0.6621,0.73867,0.48669,1.018,1.41371,0.90314,0.00472,0.00472,0.00472
18,1279.65,1.15594,0.79019,0.99344,0.79196,0.66783,0.74871,0.49484,1.01502,1.53333,0.89793,0.00439,0.00439,0.00439
19,1350.55,1.14048,0.7772,0.98698,0.80095,0.61986,0.7205,0.47971,1.01319,1.43826,0.89808,0.00406,0.00406,0.00406
20,1421.36,1.13394,0.77934,0.98549,0.80332,0.65606,0.74534,0.49315,1.01169,1.33618,0.89811,0.00373,0.00373,0.00373
21,1486.4,1.0931,0.7483,0.96346,0.81185,0.63357,0.73598,0.47281,1.07812,1.66758,0.91563,0.0034,0.0034,0.0034
22,1549.29,1.08042,0.72181,0.95854,0.78494,0.62793,0.72551,0.46673,1.08413,1.59021,0.91987,0.00307,0.00307,0.00307
23,1611.82,1.06121,0.70283,0.95195,0.78726,0.66182,0.73834,0.47768,1.07302,1.68193,0.91184,0.00274,0.00274,0.00274
24,1674.26,1.04398,0.68891,0.94728,0.78641,0.63134,0.72069,0.46817,1.08784,1.80604,0.92097,0.00241,0.00241,0.00241
25,1736.84,1.04129,0.67949,0.94246,0.79553,0.64534,0.72476,0.47205,1.05747,1.4396,0.9107,0.00208,0.00208,0.00208
26,1799.35,1.02795,0.66694,0.93725,0.79646,0.6456,0.72867,0.47463,1.05298,1.66523,0.90828,0.00175,0.00175,0.00175
27,1861.83,1.01037,0.65538,0.93694,0.79555,0.65087,0.73648,0.48294,1.05314,1.49912,0.909,0.00142,0.00142,0.00142
28,1924.08,1.0012,0.64701,0.93026,0.80585,0.63152,0.71923,0.47076,1.05318,1.64358,0.91273,0.00109,0.00109,0.00109
29,1986.36,0.99557,0.63724,0.93017,0.81889,0.62295,0.72135,0.47378,1.05462,1.55486,0.91115,0.00076,0.00076,0.00076
30,2048.59,0.99129,0.63319,0.92566,0.80771,0.62806,0.72199,0.47381,1.04927,1.56706,0.90961,0.00043,0.00043,0.00043
