epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,82.0914,1.96843,1.79557,1.48646,0.52261,0.43409,0.41076,0.14764,2.14608,4.5477,1.3697,0.0700477,0.00332803,0.00332803
2,156.346,1.86882,1.59103,1.45262,0.58115,0.42451,0.42343,0.1531,2.27867,2.84945,1.44374,0.0398279,0.00644154,0.00644154
3,229.288,1.78186,1.49909,1.41181,0.63403,0.54343,0.54066,0.1745,2.39115,2.16487,1.46522,0.00938804,0.00933505,0.00933505
4,301.637,1.73807,1.42796,1.39073,0.70375,0.50237,0.56814,0.2313,2.03188,1.816,1.27876,0.00901,0.00901,0.00901
5,374.289,1.65557,1.34536,1.34201,0.60219,0.48947,0.49303,0.17013,2.32919,2.59718,1.45826,0.00868,0.00868,0.00868
6,448.172,1.62849,1.31936,1.33166,0.71949,0.61148,0.65605,0.33167,1.53945,2.32745,1.10641,0.00835,0.00835,0.00835
7,522.941,1.59259,1.26378,1.30978,0.75794,0.59924,0.66386,0.32441,1.75135,3.48292,1.16851,0.00802,0.00802,0.00802
8,598.844,1.56783,1.243,1.29668,0.7137,0.56452,0.60693,0.24973,1.98901,2.0683,1.29917,0.00769,0.00769,0.00769
9,674.295,1.53789,1.21024,1.2881,0.74759,0.60209,0.65486,0.3043,1.8797,2.70207,1.20558,0.00736,0.00736,0.00736
10,749.749,1.50331,1.1789,1.26477,0.76739,0.59336,0.67278,0.35013,1.55618,2.0531,1.12763,0.00703,0.00703,0.00703
11,825.2,1.49731,1.17043,1.26217,0.75512,0.61055,0.68371,0.3537,1.5254,1.75199,1.08794,0.0067,0.0067,0.0067
12,900.326,1.47278,1.14414,1.24778,0.71321,0.6017,0.64724,0.25972,2.00929,3.08909,1.27881,0.00637,0.00637,0.00637
13,975.228,1.45796,1.12067,1.2405,0.74424,0.57884,0.62104,0.2368,2.13994,2.00787,1.32793,0.00604,0.00604,0.00604
14,1050.27,1.44577,1.10498,1.23366,0.76844,0.58507,0.65143,0.26701,2.00009,2.65664,1.2681,0.00571,0.00571,0.00571
15,1125.18,1.42722,1.09424,1.22349,0.76633,0.61571,0.68497,0.37026,1.55099,2.23046,1.08363,0.00538,0.00538,0.00538
16,1200.08,1.41381,1.07608,1.2209,0.75655,0.60556,0.68426,0.37201,1.35517,1.75287,1.02969,0.00505,0.00505,0.00505
17,1273.96,1.39937,1.06184,1.20717,0.74726,0.6577,0.70236,0.39193,1.36839,2.35465,1.04289,0.00472,0.00472,0.00472
18,1347.45,1.38964,1.04601,1.20439,0.75997,0.62567,0.69564,0.34103,1.72761,2.06841,1.1597,0.00439,0.00439,0.00439
19,1419.93,1.38593,1.05334,1.20301,0.78846,0.64125,0.72219,0.40197,1.37411,1.65653,1.03621,0.00406,0.00406,0.00406
20,1491.69,1.3491,1.01343,1.18213,0.76885,0.63623,0.7043,0.40217,1.3533,1.67441,1.015,0.00373,0.00373,0.00373
21,1564.22,1.26118,0.928,1.14623,0.78294,0.60992,0.70043,0.38363,1.43306,1.48348,1.07072,0.0034,0.0034,0.0034
22,1634.19,1.26133,0.9174,1.14513,0.76523,0.6035,0.67705,0.35061,1.54362,1.55519,1.10545,0.00307,0.00307,0.00307
23,1704.34,1.24109,0.9087,1.1363,0.77064,0.60683,0.68019,0.33917,1.70903,1.71613,1.16798,0.00274,0.00274,0.00274
24,1773.31,1.21479,0.878,1.12607,0.73803,0.64201,0.70183,0.37562,1.55209,1.68407,1.08944,0.00241,0.00241,0.00241
25,1842.29,1.19492,0.85806,1.11217,0.76909,0.62276,0.68952,0.35726,1.60133,1.47708,1.10328,0.00208,0.00208,0.00208
26,1911.44,1.16498,0.83209,1.09794,0.78015,0.65583,0.72967,0.40996,1.40895,1.50202,1.04504,0.00175,0.00175,0.00175
27,1980.52,1.14019,0.81432,1.08807,0.77832,0.62876,0.7112,0.38766,1.49015,1.57578,1.06358,0.00142,0.00142,0.00142
28,2049.47,1.11755,0.78708,1.07602,0.78872,0.63937,0.71574,0.3879,1.52419,1.53155,1.08795,0.00109,0.00109,0.00109
29,2118.42,1.08369,0.76172,1.06153,0.77626,0.62353,0.705,0.36929,1.59331,1.39511,1.11224,0.00076,0.00076,0.00076
30,2187.32,1.05996,0.74163,1.04472,0.77575,0.63191,0.71225,0.37691,1.56957,1.35568,1.11313,0.00043,0.00043,0.00043
