epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,84.7334,1.4816,1.77546,1.12709,0.75274,0.6558,0.72,0.44276,1.09162,1.9879,0.88883,0.0700477,0.00332803,0.00332803
2,161.602,1.38231,1.21376,1.08081,0.77339,0.6595,0.72832,0.44785,1.12156,1.62851,0.89653,0.0398279,0.00644154,0.00644154
3,236.95,1.4035,1.17797,1.0691,0.73954,0.6177,0.67381,0.40613,1.1723,1.83824,0.8979,0.00938804,0.00933505,0.00933505
4,312.284,1.42652,1.17453,1.07612,0.74359,0.66287,0.71159,0.42931,1.16485,2.26072,0.91965,0.00901,0.00901,0.00901
5,387.205,1.37481,1.10124,1.06599,0.76898,0.6537,0.72414,0.44446,1.10048,1.63865,0.90886,0.00868,0.00868,0.00868
6,462.368,1.333,1.03782,1.04758,0.74465,0.65731,0.70834,0.43344,1.11066,2.16969,0.90789,0.00835,0.00835,0.00835
7,537.399,1.30924,1.00478,1.03703,0.78236,0.63962,0.72694,0.45659,1.10551,1.41519,0.90244,0.00802,0.00802,0.00802
8,612.047,1.27992,0.96803,1.02572,0.79437,0.64772,0.72981,0.46613,1.07006,1.41351,0.89937,0.00769,0.00769,0.00769
9,686.757,1.26886,0.94777,1.02066,0.74053,0.65702,0.71252,0.45395,1.0897,1.69311,0.90524,0.00736,0.00736,0.00736
10,761.92,1.24106,0.91873,1.01141,0.76285,0.62187,0.69463,0.45383,1.06559,1.77749,0.90063,0.00703,0.00703,0.00703
11,837.357,1.21946,0.89965,1.00771,0.76907,0.65165,0.72451,0.46571,1.04224,1.70119,0.90021,0.0067,0.0067,0.0067
12,912.439,1.21408,0.88811,1.00453,0.75089,0.66994,0.72756,0.46968,1.03929,1.66516,0.89497,0.00637,0.00637,0.00637
13,987.682,1.19627,0.87048,0.99795,0.82429,0.59843,0.70494,0.4675,1.04361,1.29693,0.89807,0.00604,0.00604,0.00604
14,1062.6,1.18235,0.84954,0.99072,0.7863,0.6424,0.72759,0.47233,1.01762,1.5036,0.88646,0.00571,0.00571,0.00571
15,1137.91,1.16618,0.8359,0.98559,0.73534,0.66719,0.72176,0.47292,1.03503,1.69962,0.89196,0.00538,0.00538,0.00538
16,1213.15,1.15433,0.82067,0.98092,0.7618,0.65304,0.72315,0.47321,1.03336,1.80546,0.88807,0.00505,0.00505,0.00505
17,1288.67,1.14168,0.81041,0.9787,0.7383,0.67066,0.73309,0.48794,1.00136,1.69673,0.88179,0.00472,0.00472,0.00472
18,1363.88,1.1307,0.79833,0.97445,0.76985,0.66211,0.73379,0.488,0.98357,1.52605,0.8801,0.00439,0.00439,0.00439
19,1439.47,1.12518,0.78695,0.97049,0.78639,0.62618,0.72118,0.48752,1.00851,1.29164,0.88681,0.00406,0.00406,0.00406
20,1514.96,1.10148,0.76242,0.96229,0.76923,0.64598,0.72155,0.48995,0.98757,1.69817,0.87602,0.00373,0.00373,0.00373
21,1585.36,1.00901,0.69115,0.93207,0.75065,0.6198,0.67792,0.45824,1.05083,1.61808,0.90167,0.0034,0.0034,0.0034
22,1653.61,0.99605,0.67892,0.92679,0.76636,0.65211,0.71935,0.47919,1.01899,1.46038,0.89131,0.00307,0.00307,0.00307
23,1721.57,0.98108,0.65975,0.92322,0.77425,0.63268,0.70629,0.46975,1.03859,1.38692,0.88734,0.00274,0.00274,0.00274
24,1789.56,0.95883,0.64287,0.9191,0.75435,0.65893,0.73211,0.48619,1.01975,1.4588,0.88778,0.00241,0.00241,0.00241
25,1857.64,0.94579,0.62594,0.91199,0.75477,0.67115,0.73065,0.4832,1.01692,1.50876,0.89037,0.00208,0.00208,0.00208
26,1925.74,0.92937,0.61047,0.90706,0.76789,0.64157,0.71587,0.48423,1.01416,1.46977,0.89039,0.00175,0.00175,0.00175
27,1993.6,0.90686,0.5908,0.90283,0.76863,0.64004,0.71408,0.48565,1.00969,1.38571,0.88848,0.00142,0.00142,0.00142
28,2061.58,0.88822,0.57525,0.8957,0.77469,0.6031,0.68117,0.47313,1.00095,1.35536,0.88701,0.00109,0.00109,0.00109
29,2129.47,0.87077,0.55733,0.89179,0.76522,0.60262,0.68938,0.475,1.00701,1.47608,0.88598,0.00076,0.00076,0.00076
30,2197.4,0.85537,0.54897,0.88506,0.74559,0.63161,0.70138,0.48312,1.00176,1.4686,0.88312,0.00043,0.00043,0.00043
