epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,83.7042,1.95676,2.18147,1.35016,0.74541,0.59294,0.66062,0.32312,1.60617,2.1859,0.99491,0.000475576,0.000475576,0.000475576
2,161.669,1.77119,1.58221,1.27444,0.76763,0.62812,0.70284,0.3776,1.39194,1.61959,0.96659,0.000920496,0.000920496,0.000920496
3,238.734,1.70609,1.43032,1.24222,0.76466,0.62489,0.68188,0.3283,1.61857,2.84471,1.01251,0.00133398,0.00133398,0.00133398
4,316.543,1.6714,1.36654,1.22828,0.7961,0.62633,0.7137,0.3776,1.47008,1.80437,0.98266,0.00128753,0.00128753,0.00128753
5,394.907,1.62731,1.3146,1.21027,0.74783,0.65875,0.71704,0.41181,1.27929,1.72738,0.9283,0.00124037,0.00124037,0.00124037
6,472.393,1.57611,1.25593,1.18574,0.76742,0.63537,0.70793,0.36885,1.56638,1.75667,0.98491,0.00119322,0.00119322,0.00119322
7,549.956,1.57904,1.24329,1.18313,0.73889,0.65237,0.71363,0.4105,1.29935,1.88505,0.9342,0.00114606,0.00114606,0.00114606
8,627.661,1.54882,1.20998,1.16793,0.77422,0.64342,0.71218,0.36635,1.47645,1.61647,0.96279,0.0010989,0.0010989,0.0010989
9,705.876,1.53433,1.20076,1.16372,0.79188,0.64997,0.73075,0.39907,1.32214,2.2013,0.94869,0.00105174,0.00105174,0.00105174
10,782.969,1.50725,1.16567,1.1472,0.77057,0.65321,0.72299,0.40999,1.29377,2.16261,0.93191,0.00100459,0.00100459,0.00100459
11,860.47,1.48557,1.13926,1.14009,0.7747,0.66077,0.72581,0.40619,1.26928,1.7826,0.92334,0.00095743,0.00095743,0.00095743
12,938.109,1.48259,1.13971,1.13675,0.77475,0.66137,0.7292,0.42631,1.24922,1.86138,0.91912,0.000910273,0.000910273,0.000910273
13,1015.51,1.46818,1.11707,1.13138,0.80279,0.64544,0.73186,0.4312,1.24455,1.65056,0.92088,0.000863116,0.000863116,0.000863116
14,1093.11,1.47012,1.13038,1.13187,0.81344,0.65115,0.73719,0.43395,1.25835,1.80324,0.92281,0.000815959,0.000815959,0.000815959
15,1170.05,1.44318,1.09606,1.11658,0.78932,0.64642,0.72848,0.43427,1.2302,1.83897,0.9144,0.000768802,0.000768802,0.000768802
16,1246.33,1.43821,1.09672,1.11784,0.76834,0.66446,0.73227,0.42618,1.26487,1.76937,0.924,0.000721645,0.000721645,0.000721645
17,1322.48,1.4233,1.07704,1.10885,0.76619,0.66543,0.73143,0.42404,1.28258,1.63539,0.92384,0.000674488,0.000674488,0.000674488
18,1398.91,1.4232,1.07532,1.10857,0.79989,0.65124,0.73079,0.42845,1.24435,1.69169,0.91852,0.000627331,0.000627331,0.000627331
19,1474.51,1.40996,1.06136,1.10441,0.79882,0.66148,0.7411,0.44435,1.22249,1.49841,0.90711,0.000580174,0.000580174,0.000580174
20,1550.86,1.40347,1.05768,1.10072,0.7901,0.65109,0.72443,0.42398,1.2744,1.59444,0.91792,0.000533017,0.000533017,0.000533017
21,1616.78,1.26223,0.94956,1.05796,0.79034,0.62056,0.70503,0.41519,1.31718,1.41339,0.93648,0.00048586,0.00048586,0.00048586
22,1681.15,1.24572,0.91493,1.04934,0.78813,0.64034,0.72653,0.42383,1.28944,1.55938,0.92573,0.000438703,0.000438703,0.000438703
23,1744.97,1.23164,0.90187,1.04286,0.77175,0.64086,0.71747,0.41882,1.30935,1.59726,0.92915,0.000391546,0.000391546,0.000391546
24,1808.95,1.2106,0.89018,1.04005,0.79195,0.62477,0.72404,0.42946,1.26889,1.50575,0.9155,0.000344389,0.000344389,0.000344389
25,1873.05,1.21343,0.87225,1.03528,0.78179,0.63607,0.71441,0.4233,1.2786,1.47154,0.9226,0.000297232,0.000297232,0.000297232
26,1937.19,1.19489,0.8649,1.02803,0.78309,0.63792,0.72103,0.43691,1.22133,1.48853,0.90809,0.000250075,0.000250075,0.000250075
27,2000.66,1.17812,0.85151,1.02518,0.77864,0.63678,0.71916,0.43835,1.20918,1.50604,0.91171,0.000202918,0.000202918,0.000202918
28,2063.82,1.17143,0.8419,1.022,0.78176,0.63628,0.71529,0.43293,1.22897,1.47213,0.91283,0.000155761,0.000155761,0.000155761
29,2126.8,1.15551,0.83339,1.01659,0.77331,0.63061,0.71409,0.43762,1.21383,1.36421,0.90855,0.000108604,0.000108604,0.000108604
30,2189.93,1.16022,0.82965,1.01387,0.77568,0.63686,0.71831,0.44052,1.20362,1.42951,0.90483,6.1447e-05,6.1447e-05,6.1447e-05
