epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,91.101,2.00288,1.82644,1.46932,0.62224,0.53483,0.52701,0.21198,2.02851,7.70101,1.32053,0.0700477,0.00332803,0.00332803
2,173.89,1.89551,1.62422,1.42503,0.68319,0.52784,0.57724,0.26817,1.69785,2.58789,1.12943,0.0398279,0.00644154,0.00644154
3,256.02,1.80559,1.50241,1.36742,0.6707,0.55856,0.59436,0.29012,1.59253,2.49887,1.09311,0.00938804,0.00933505,0.00933505
4,337.767,1.72542,1.41017,1.32552,0.72324,0.61117,0.65451,0.3441,1.46754,2.98144,1.04321,0.00901,0.00901,0.00901
5,419.503,1.65666,1.34089,1.2867,0.69872,0.6244,0.66944,0.35919,1.39765,1.78817,1.01053,0.00868,0.00868,0.00868
6,501.737,1.58146,1.25194,1.24935,0.73382,0.59707,0.65241,0.36316,1.42525,2.45584,1.0238,0.00835,0.00835,0.00835
7,582.889,1.5571,1.22618,1.23441,0.746,0.64339,0.71061,0.40192,1.31581,2.12338,0.99326,0.00802,0.00802,0.00802
8,664.681,1.52196,1.18464,1.21883,0.74394,0.61735,0.6814,0.38924,1.28489,2.61036,0.98302,0.00769,0.00769,0.00769
9,746.403,1.48832,1.15759,1.19896,0.73112,0.64032,0.69247,0.38052,1.38348,2.03889,0.99403,0.00736,0.00736,0.00736
10,827.809,1.46601,1.12889,1.19033,0.74217,0.62545,0.68844,0.3889,1.33725,3.0428,0.98748,0.00703,0.00703,0.00703
11,909.654,1.45224,1.1184,1.1825,0.74999,0.61383,0.67683,0.37681,1.40384,2.09317,1.00056,0.0067,0.0067,0.0067
12,990.822,1.43475,1.09612,1.1703,0.76183,0.64219,0.71241,0.41929,1.22821,1.92277,0.96308,0.00637,0.00637,0.00637
13,1071.9,1.40799,1.06693,1.16029,0.76322,0.6197,0.70119,0.41896,1.25081,1.46016,0.95705,0.00604,0.00604,0.00604
14,1153.18,1.37286,1.04097,1.13882,0.76849,0.65669,0.70801,0.39903,1.27094,1.92133,0.97016,0.00571,0.00571,0.00571
15,1234.22,1.3722,1.03732,1.13827,0.77854,0.63696,0.71122,0.42102,1.24139,2.01943,0.95397,0.00538,0.00538,0.00538
16,1315.47,1.35898,1.01224,1.13212,0.78359,0.64769,0.71623,0.43249,1.21157,1.71258,0.94304,0.00505,0.00505,0.00505
17,1396.43,1.32964,0.99312,1.11957,0.7658,0.66587,0.71708,0.43305,1.20869,1.8715,0.93917,0.00472,0.00472,0.00472
18,1477.51,1.31795,0.97866,1.11303,0.77055,0.65286,0.72364,0.42542,1.22834,1.37581,0.94356,0.00439,0.00439,0.00439
19,1558.41,1.31089,0.97159,1.10826,0.77078,0.65789,0.7297,0.43869,1.22593,1.53476,0.94239,0.00406,0.00406,0.00406
20,1640.35,1.30149,0.97013,1.1068,0.79041,0.63975,0.71594,0.43007,1.19534,1.67458,0.93419,0.00373,0.00373,0.00373
21,1713.24,1.14607,0.81894,1.03978,0.77446,0.65066,0.7191,0.43405,1.28097,1.79489,0.96166,0.0034,0.0034,0.0034
22,1784.23,1.13018,0.79317,1.03464,0.75486,0.65263,0.71567,0.41906,1.30304,1.78016,0.96353,0.00307,0.00307,0.00307
23,1855.14,1.11196,0.77896,1.02494,0.74663,0.63964,0.70514,0.4253,1.24294,1.83181,0.94648,0.00274,0.00274,0.00274
24,1926.14,1.08213,0.76233,1.01936,0.76052,0.6671,0.73058,0.43575,1.23783,1.64963,0.94562,0.00241,0.00241,0.00241
25,1997.16,1.07853,0.74376,1.01092,0.76299,0.63347,0.70931,0.41862,1.28234,1.3269,0.96038,0.00208,0.00208,0.00208
26,2068.4,1.05111,0.7303,0.99945,0.74081,0.64288,0.71294,0.43268,1.23767,1.4564,0.95233,0.00175,0.00175,0.00175
27,2139.76,1.03503,0.71322,0.99706,0.74809,0.65044,0.71552,0.43221,1.2605,1.56009,0.95103,0.00142,0.00142,0.00142
28,2210.89,1.01772,0.69498,0.99004,0.74273,0.63411,0.71064,0.43246,1.25202,1.56891,0.95185,0.00109,0.00109,0.00109
29,2281.93,1.0004,0.67833,0.98238,0.75178,0.6338,0.70933,0.42056,1.292,1.57112,0.95977,0.00076,0.00076,0.00076
30,2353.06,0.9871,0.66849,0.97791,0.76406,0.64093,0.71951,0.43614,1.25109,1.44053,0.94959,0.00043,0.00043,0.00043
