epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,78.2005,1.99047,2.27915,1.39064,0.76805,0.60539,0.6755,0.33749,1.5002,1.95725,0.99089,0.000475576,0.000475576,0.000475576
2,149.108,1.74629,1.62572,1.28552,0.75726,0.60527,0.66654,0.32873,1.54524,2.05159,0.99591,0.000920496,0.000920496,0.000920496
3,218.827,1.68002,1.46118,1.26107,0.74214,0.61002,0.67512,0.33915,1.52012,2.81184,0.98439,0.00133398,0.00133398,0.00133398
4,288.087,1.63299,1.36428,1.23393,0.7351,0.63913,0.69576,0.33435,1.64497,2.66164,1.03039,0.00128753,0.00128753,0.00128753
5,357.29,1.59475,1.31484,1.21108,0.76254,0.61261,0.67953,0.35049,1.48215,2.37773,0.98047,0.00124037,0.00124037,0.00124037
6,426.508,1.55718,1.27141,1.19585,0.75561,0.64086,0.70046,0.33672,1.6715,1.7588,1.0232,0.00119322,0.00119322,0.00119322
7,495.95,1.52774,1.23423,1.18224,0.77568,0.63664,0.71302,0.38157,1.40469,1.95016,0.94754,0.00114606,0.00114606,0.00114606
8,565.199,1.50874,1.21344,1.17424,0.74068,0.65367,0.71072,0.39192,1.35757,1.72301,0.93883,0.0010989,0.0010989,0.0010989
9,634.085,1.48423,1.18836,1.1605,0.78316,0.62325,0.70672,0.36151,1.487,1.6528,0.973,0.00105174,0.00105174,0.00105174
10,703.264,1.48141,1.17726,1.15703,0.76105,0.6518,0.71627,0.39868,1.33639,1.84183,0.93476,0.00100459,0.00100459,0.00100459
11,772.684,1.45511,1.14882,1.14558,0.7843,0.63074,0.70803,0.40326,1.27327,1.80879,0.92095,0.00095743,0.00095743,0.00095743
12,841.845,1.43322,1.13488,1.13641,0.79143,0.64331,0.71704,0.38815,1.45083,1.62573,0.95951,0.000910273,0.000910273,0.000910273
13,910.971,1.42795,1.11803,1.13575,0.78544,0.64367,0.72406,0.40257,1.36359,1.43087,0.94028,0.000863116,0.000863116,0.000863116
14,981.089,1.42134,1.11597,1.12844,0.78452,0.62814,0.72416,0.39608,1.39116,1.74054,0.93938,0.000815959,0.000815959,0.000815959
