epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,83.6002,1.65877,1.87389,1.21977,0.77216,0.63202,0.72055,0.41296,1.31957,2.14877,0.93766,0.0700477,0.00332803,0.00332803
2,159.404,1.54205,1.31858,1.15516,0.78064,0.64765,0.7245,0.41007,1.28948,1.75256,0.93449,0.0398279,0.00644154,0.00644154
3,233.965,1.53678,1.26292,1.14,0.74913,0.60303,0.66489,0.33154,1.61076,2.32089,0.99078,0.00938804,0.00933505,0.00933505
4,307.986,1.53701,1.24509,1.13643,0.74332,0.63472,0.68731,0.406,1.22901,2.29348,0.92334,0.00901,0.00901,0.00901
5,381.82,1.47974,1.16203,1.11722,0.72753,0.63477,0.68259,0.40794,1.19658,1.9879,0.9113,0.00868,0.00868,0.00868
6,455.834,1.44554,1.11787,1.09537,0.75049,0.61566,0.69594,0.41635,1.26032,1.59749,0.93222,0.00835,0.00835,0.00835
7,529.874,1.40925,1.07338,1.09083,0.76714,0.62764,0.69792,0.42207,1.17669,1.79123,0.90683,0.00802,0.00802,0.00802
8,603.642,1.37331,1.03308,1.07524,0.77104,0.63649,0.71191,0.44123,1.1756,1.79027,0.91727,0.00769,0.00769,0.00769
9,677.739,1.35795,1.00558,1.06716,0.78555,0.62654,0.70655,0.43171,1.14324,1.84611,0.90181,0.00736,0.00736,0.00736
10,751.796,1.33054,0.9822,1.06337,0.73987,0.64097,0.70012,0.42403,1.20111,1.71488,0.92103,0.00703,0.00703,0.00703
11,826.374,1.30935,0.9507,1.04824,0.73542,0.61707,0.68251,0.42842,1.15164,1.54874,0.90338,0.0067,0.0067,0.0067
12,900.373,1.29041,0.93606,1.04401,0.74413,0.63793,0.70101,0.44047,1.11787,1.77137,0.89903,0.00637,0.00637,0.00637
13,974.365,1.27209,0.90852,1.03466,0.79055,0.59402,0.69466,0.42588,1.17516,1.58647,0.91601,0.00604,0.00604,0.00604
14,1048.58,1.25794,0.90222,1.0309,0.75906,0.664,0.73458,0.45072,1.11988,1.88827,0.8955,0.00571,0.00571,0.00571
15,1122.66,1.23605,0.8725,1.02041,0.76709,0.64586,0.72561,0.45657,1.11559,1.61678,0.88786,0.00538,0.00538,0.00538
16,1196.75,1.22769,0.86514,1.01967,0.76902,0.67784,0.74674,0.47308,1.10092,1.36935,0.89186,0.00505,0.00505,0.00505
17,1270.79,1.21007,0.84964,1.01135,0.75117,0.65622,0.72257,0.45917,1.09513,2.17092,0.88489,0.00472,0.00472,0.00472
18,1344.77,1.20241,0.83589,1.00918,0.74152,0.67377,0.72813,0.46422,1.05676,1.52469,0.88742,0.00439,0.00439,0.00439
19,1419.11,1.18279,0.82121,1.0004,0.77226,0.63734,0.71468,0.45739,1.09336,1.79187,0.89609,0.00406,0.00406,0.00406
20,1493.46,1.16787,0.80731,0.99763,0.76567,0.65382,0.72161,0.4703,1.05432,1.537,0.88243,0.00373,0.00373,0.00373
21,1563.92,1.05445,0.72733,0.95965,0.77346,0.62652,0.69868,0.44255,1.18943,1.54731,0.9162,0.0034,0.0034,0.0034
22,1632.04,1.05011,0.71031,0.95915,0.74058,0.66867,0.72274,0.45281,1.20212,1.51028,0.91919,0.00307,0.00307,0.00307
23,1700.29,1.02951,0.69393,0.9499,0.73773,0.64039,0.70334,0.44838,1.10312,1.65681,0.89556,0.00274,0.00274,0.00274
24,1768.45,1.00509,0.67781,0.94761,0.74855,0.67466,0.71979,0.45829,1.11433,1.55369,0.90079,0.00241,0.00241,0.00241
25,1836.56,0.9979,0.66294,0.93948,0.7666,0.6323,0.7017,0.44035,1.20466,1.75847,0.91727,0.00208,0.00208,0.00208
26,1904.57,0.9746,0.64251,0.93155,0.78121,0.65483,0.72049,0.46054,1.12271,1.43772,0.89913,0.00175,0.00175,0.00175
27,1972.63,0.95257,0.62361,0.92619,0.74785,0.64743,0.70604,0.44532,1.19946,1.67501,0.91613,0.00142,0.00142,0.00142
28,2040.56,0.93476,0.6105,0.9206,0.76551,0.6336,0.70215,0.44335,1.2041,1.50661,0.91998,0.00109,0.00109,0.00109
29,2108.6,0.91386,0.59143,0.91434,0.76204,0.60767,0.68713,0.44417,1.15917,1.43122,0.90755,0.00076,0.00076,0.00076
30,2176.69,0.9022,0.58274,0.91083,0.76468,0.63247,0.70389,0.45273,1.15176,1.50751,0.90664,0.00043,0.00043,0.00043
