epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,82.8031,1.87152,1.68664,1.42469,0.68671,0.59513,0.63579,0.2924,1.7087,5.3488,1.14301,0.0700477,0.00332803,0.00332803
2,158.02,1.7252,1.40932,1.36025,0.76239,0.59913,0.66121,0.32069,1.6833,2.45201,1.14378,0.0398279,0.00644154,0.00644154
3,234.459,1.64166,1.31835,1.3199,0.79138,0.62102,0.69617,0.35708,1.51679,2.96299,1.07326,0.00938804,0.00933505,0.00933505
4,309.723,1.56983,1.24116,1.27149,0.77043,0.6218,0.68479,0.36229,1.45908,2.01785,1.04304,0.00901,0.00901,0.00901
5,384.86,1.5267,1.19562,1.2503,0.79862,0.6173,0.70777,0.38113,1.43205,1.63884,1.03742,0.00868,0.00868,0.00868
6,459.492,1.48007,1.14445,1.22411,0.76015,0.61645,0.69869,0.3628,1.5527,1.96271,1.05654,0.00835,0.00835,0.00835
7,534.857,1.46952,1.13919,1.2192,0.77552,0.6509,0.71071,0.39104,1.36518,2.24403,1.00465,0.00802,0.00802,0.00802
8,609.823,1.43292,1.09456,1.19124,0.76108,0.64508,0.71875,0.4024,1.40791,1.82064,1.0068,0.00769,0.00769,0.00769
9,684.895,1.41549,1.07539,1.17853,0.79907,0.64143,0.71393,0.38615,1.45931,1.93271,1.01572,0.00736,0.00736,0.00736
10,760.409,1.3991,1.05823,1.17751,0.80493,0.63453,0.71385,0.39831,1.42102,1.61716,1.01282,0.00703,0.00703,0.00703
11,835.709,1.38043,1.04395,1.16099,0.7946,0.63812,0.71394,0.41288,1.29369,1.73104,0.9731,0.0067,0.0067,0.0067
12,911.064,1.36653,1.02665,1.15449,0.77272,0.65373,0.71595,0.39392,1.41494,1.81223,0.99828,0.00637,0.00637,0.00637
13,986.334,1.35197,1.01152,1.15052,0.78943,0.64048,0.72634,0.41932,1.28884,1.67422,0.9682,0.00604,0.00604,0.00604
14,1061.34,1.3461,0.99674,1.14143,0.78243,0.6225,0.70916,0.39493,1.37316,1.73201,0.98967,0.00571,0.00571,0.00571
15,1136.59,1.32933,0.99356,1.13887,0.78904,0.65042,0.72136,0.40632,1.34533,1.52615,0.98248,0.00538,0.00538,0.00538
16,1212.07,1.32902,0.99033,1.1335,0.80743,0.634,0.71825,0.39395,1.41754,1.73998,0.99365,0.00505,0.00505,0.00505
17,1287.5,1.30024,0.96396,1.12003,0.79695,0.652,0.72736,0.41264,1.3547,1.66772,0.97999,0.00472,0.00472,0.00472
18,1362.71,1.30194,0.96726,1.12399,0.79523,0.63832,0.72813,0.42243,1.29179,1.63533,0.96488,0.00439,0.00439,0.00439
19,1437.82,1.29254,0.95399,1.11708,0.78542,0.64496,0.7238,0.42304,1.26489,1.82943,0.96346,0.00406,0.00406,0.00406
20,1513.11,1.27834,0.93506,1.10627,0.80142,0.651,0.72764,0.41632,1.31783,1.67738,0.96582,0.00373,0.00373,0.00373
21,1582.31,1.19244,0.85473,1.05239,0.80776,0.63909,0.71543,0.39424,1.39265,1.76478,0.99294,0.0034,0.0034,0.0034
22,1648.99,1.17431,0.82686,1.04951,0.79457,0.65132,0.72065,0.41879,1.35309,1.6736,0.98304,0.00307,0.00307,0.00307
23,1715.66,1.15307,0.80431,1.03581,0.79252,0.63299,0.70838,0.41429,1.30327,1.74163,0.9643,0.00274,0.00274,0.00274
24,1782.58,1.13405,0.79748,1.03263,0.78338,0.64159,0.70954,0.40916,1.3423,1.786,0.97668,0.00241,0.00241,0.00241
25,1849.57,1.12755,0.7816,1.02519,0.76989,0.63493,0.70232,0.40917,1.30815,1.52176,0.96974,0.00208,0.00208,0.00208
26,1916.07,1.11621,0.7711,1.0178,0.7862,0.62942,0.70486,0.42105,1.27889,1.69891,0.96077,0.00175,0.00175,0.00175
27,1982.93,1.09705,0.75798,1.01558,0.79012,0.64073,0.71339,0.42734,1.26309,1.69862,0.95404,0.00142,0.00142,0.00142
28,2049,1.08831,0.74666,1.00884,0.79009,0.63689,0.709,0.42396,1.28819,1.59823,0.95861,0.00109,0.00109,0.00109
29,2116.02,1.07312,0.73503,1.0029,0.7756,0.64082,0.70419,0.42342,1.25706,1.56379,0.95718,0.00076,0.00076,0.00076
30,2182.93,1.07238,0.73029,1.00351,0.79295,0.6491,0.72072,0.42792,1.29083,1.68915,0.95907,0.00043,0.00043,0.00043
