epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,78.2283,1.81295,1.59187,1.37905,0.72546,0.57796,0.64741,0.29957,1.72783,2.60595,1.15459,0.0700477,0.00332803,0.00332803
2,149.47,1.7157,1.36175,1.36257,0.77363,0.60349,0.67648,0.31279,1.68954,2.09596,1.13701,0.0398279,0.00644154,0.00644154
3,220.418,1.65036,1.3028,1.33688,0.77469,0.60621,0.67453,0.33184,1.63229,2.9693,1.12501,0.00938804,0.00933505,0.00933505
4,290.65,1.6201,1.24908,1.32134,0.79324,0.60332,0.67873,0.3409,1.5969,1.73474,1.11555,0.00901,0.00901,0.00901
5,360.71,1.5793,1.21872,1.30435,0.7848,0.61807,0.70853,0.38196,1.46097,1.41658,1.06662,0.00868,0.00868,0.00868
6,431.062,1.55666,1.18205,1.29418,0.7774,0.61038,0.67284,0.28846,1.96028,2.50103,1.2747,0.00835,0.00835,0.00835
7,501.264,1.5528,1.18687,1.28679,0.75157,0.61306,0.67022,0.31159,1.76443,1.88824,1.14965,0.00802,0.00802,0.00802
8,571.357,1.52944,1.16769,1.27816,0.78825,0.62491,0.70598,0.33879,1.69806,1.64299,1.14754,0.00769,0.00769,0.00769
9,641.32,1.52025,1.15229,1.27031,0.76623,0.61946,0.68961,0.34056,1.5917,1.97698,1.10284,0.00736,0.00736,0.00736
10,711.262,1.50239,1.13648,1.26515,0.76057,0.64792,0.70489,0.3492,1.64031,1.66441,1.1163,0.00703,0.00703,0.00703
11,781.803,1.49724,1.12768,1.25681,0.74098,0.62521,0.6821,0.3505,1.55937,2.08705,1.10578,0.0067,0.0067,0.0067
12,852.016,1.47924,1.11226,1.25471,0.80291,0.61253,0.70243,0.37069,1.4738,2.1621,1.06122,0.00637,0.00637,0.00637
13,922.267,1.46983,1.09801,1.24856,0.8043,0.61453,0.70216,0.3643,1.48326,2.01224,1.06066,0.00604,0.00604,0.00604
14,993.436,1.4636,1.09683,1.23865,0.79663,0.61588,0.68966,0.3585,1.52362,2.78282,1.07497,0.00571,0.00571,0.00571
15,1065.14,1.45524,1.08665,1.23775,0.76556,0.63232,0.70541,0.37571,1.53005,1.66189,1.07586,0.00538,0.00538,0.00538
16,1136.28,1.43445,1.06407,1.21922,0.77567,0.62188,0.70236,0.38717,1.46755,2.00343,1.06018,0.00505,0.00505,0.00505
17,1207.31,1.42879,1.07018,1.21777,0.76781,0.63258,0.69984,0.35447,1.62625,1.75641,1.09458,0.00472,0.00472,0.00472
18,1278.38,1.42725,1.06061,1.2215,0.78383,0.63493,0.70605,0.36432,1.54824,1.87507,1.09369,0.00439,0.00439,0.00439
19,1349.67,1.40456,1.043,1.2047,0.78759,0.63522,0.71826,0.39939,1.44302,1.95169,1.03913,0.00406,0.00406,0.00406
20,1420.47,1.39449,1.02908,1.19695,0.79139,0.64533,0.72283,0.39293,1.46792,1.9111,1.0536,0.00373,0.00373,0.00373
21,1487.72,1.36908,1.00373,1.18593,0.80692,0.60748,0.69882,0.36667,1.53908,1.77262,1.08303,0.0034,0.0034,0.0034
22,1552.78,1.34875,0.97775,1.17525,0.78185,0.63955,0.70431,0.38977,1.44062,1.65956,1.04706,0.00307,0.00307,0.00307
23,1617.66,1.32116,0.95278,1.1563,0.77291,0.63531,0.70689,0.38639,1.49855,1.67038,1.06294,0.00274,0.00274,0.00274
24,1682.75,1.2928,0.93187,1.14895,0.77349,0.62089,0.69073,0.36053,1.56576,1.85936,1.08987,0.00241,0.00241,0.00241
25,1747.88,1.28683,0.90697,1.13835,0.79719,0.60388,0.69429,0.37717,1.47609,1.52685,1.06884,0.00208,0.00208,0.00208
26,1812.91,1.26678,0.90594,1.12673,0.7798,0.63014,0.70864,0.39582,1.42875,1.68671,1.05132,0.00175,0.00175,0.00175
27,1877.62,1.25097,0.88588,1.11912,0.80448,0.65118,0.72846,0.40568,1.39166,1.9283,1.02732,0.00142,0.00142,0.00142
28,1942.28,1.22146,0.85416,1.10425,0.77765,0.64875,0.71351,0.39609,1.45216,1.68429,1.04962,0.00109,0.00109,0.00109
29,2006.43,1.18934,0.83195,1.08678,0.76194,0.64405,0.70748,0.39541,1.41277,1.59735,1.0317,0.00076,0.00076,0.00076
30,2070.33,1.17414,0.80998,1.07869,0.7775,0.64255,0.71864,0.41331,1.37855,1.65689,1.02366,0.00043,0.00043,0.00043
