epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,93.3985,2.0832,2.05601,1.5834,0.44896,0.39127,0.38484,0.15488,2.07588,3.29575,1.33616,0.0700477,0.00332803,0.00332803
2,178.974,1.96029,1.80808,1.52173,0.56667,0.44313,0.4418,0.157,2.21252,3.18091,1.36501,0.0398279,0.00644154,0.00644154
3,263.862,1.85814,1.67614,1.46697,0.64812,0.51307,0.53716,0.2091,2.1048,4.75667,1.30368,0.00938804,0.00933505,0.00933505
4,348.126,1.76245,1.55881,1.40283,0.6431,0.53658,0.54089,0.22521,1.87159,3.92586,1.19184,0.00901,0.00901,0.00901
5,432.897,1.69061,1.46215,1.35996,0.67046,0.51858,0.57666,0.26936,1.80213,2.04283,1.13956,0.00868,0.00868,0.00868
6,517.4,1.64505,1.41732,1.34058,0.63695,0.52908,0.55869,0.24171,1.88658,3.59947,1.20814,0.00835,0.00835,0.00835
7,601.633,1.6038,1.36076,1.31953,0.71861,0.5776,0.61474,0.29746,1.73039,2.85394,1.13151,0.00802,0.00802,0.00802
8,684.943,1.56996,1.31077,1.29039,0.68697,0.50186,0.57058,0.27859,1.7381,1.77725,1.12173,0.00769,0.00769,0.00769
9,768.859,1.54128,1.29374,1.27713,0.75125,0.57413,0.64366,0.30744,1.74164,2.73205,1.12369,0.00736,0.00736,0.00736
10,852.654,1.51645,1.25967,1.26362,0.69955,0.62745,0.66392,0.35918,1.46571,2.056,1.03462,0.00703,0.00703,0.00703
11,936.52,1.50824,1.23393,1.25409,0.7543,0.58972,0.66291,0.3506,1.53242,1.56984,1.03977,0.0067,0.0067,0.0067
12,1019.92,1.45894,1.1861,1.23343,0.71087,0.59908,0.65176,0.33389,1.57296,1.86106,1.05295,0.00637,0.00637,0.00637
13,1102.96,1.44154,1.16738,1.21883,0.75732,0.6137,0.67718,0.35752,1.46925,1.77375,1.02566,0.00604,0.00604,0.00604
14,1186.64,1.43994,1.15865,1.21752,0.74135,0.61933,0.67365,0.33511,1.6282,2.09149,1.06037,0.00571,0.00571,0.00571
15,1269.77,1.40126,1.12177,1.20189,0.72234,0.60625,0.66982,0.3498,1.50227,1.90548,1.03473,0.00538,0.00538,0.00538
16,1353.49,1.40067,1.11463,1.19841,0.76883,0.58594,0.66429,0.34434,1.51668,1.68563,1.0277,0.00505,0.00505,0.00505
17,1437,1.36804,1.08572,1.18037,0.7407,0.63532,0.69178,0.38255,1.37346,1.76018,1.00083,0.00472,0.00472,0.00472
18,1520.99,1.36502,1.08785,1.18051,0.73349,0.58988,0.65102,0.36263,1.38916,1.73579,1.00959,0.00439,0.00439,0.00439
19,1604.95,1.35202,1.07006,1.17243,0.7628,0.58123,0.66515,0.37781,1.38423,1.54446,1.00047,0.00406,0.00406,0.00406
20,1688.42,1.33364,1.05194,1.16386,0.76743,0.62178,0.6934,0.38371,1.41671,1.56235,0.99851,0.00373,0.00373,0.00373
21,1761.26,1.16504,0.86656,1.06452,0.74052,0.55945,0.63141,0.36124,1.36528,1.59858,0.99914,0.0034,0.0034,0.0034
22,1832.23,1.13947,0.83313,1.04956,0.74945,0.62595,0.69411,0.38415,1.46151,1.74251,1.00845,0.00307,0.00307,0.00307
23,1903.35,1.11422,0.81079,1.04141,0.72987,0.63162,0.69086,0.39247,1.3627,1.50259,0.98995,0.00274,0.00274,0.00274
24,1974.57,1.09514,0.79499,1.03299,0.76929,0.62579,0.6984,0.39241,1.43604,1.79742,1.00648,0.00241,0.00241,0.00241
25,2045.56,1.08766,0.77723,1.02809,0.7157,0.61623,0.67807,0.38979,1.31083,1.58086,0.96538,0.00208,0.00208,0.00208
26,2116.59,1.07019,0.76379,1.02056,0.76856,0.61381,0.68835,0.39192,1.36959,1.74906,0.98541,0.00175,0.00175,0.00175
27,2187.72,1.05564,0.75053,1.01532,0.74111,0.64347,0.6994,0.40331,1.34336,1.69486,0.97721,0.00142,0.00142,0.00142
28,2258.6,1.03121,0.73253,1.00552,0.75344,0.59133,0.67826,0.39364,1.37128,1.53027,0.98093,0.00109,0.00109,0.00109
29,2329.78,1.00893,0.70877,0.99673,0.7561,0.58683,0.67732,0.38851,1.38369,1.54581,0.9763,0.00076,0.00076,0.00076
30,2400.86,1.00177,0.69914,0.99162,0.75729,0.60425,0.69134,0.40948,1.29758,1.55128,0.95424,0.00043,0.00043,0.00043
